ano;regiao;codRegiao;UF;codUF;municipio;codMunicipio;entidade;codEntidade;matriculas_base
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM SAO LUIZ;11002255;1953.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SAO LUIZ GONZAGA;11002263;9.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SAO PEDRO;11002280;325.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF SAO SEBASTIAO I;11002301;267.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PROFESSOR ANTONIO AUGUSTO REBELO DAS CHAGAS;11002310;136.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF SEBASTIANA LIMA DE OLIVEIRA;11002328;439.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF UNIAO;11002409;24.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF VALE DO JAMARI;11002425;16.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF VIDAL DE NEGREIROS;11002433;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF VISCONDE DE MAUA;11002450;
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM BARAO DO SOLIMOES;11002468;677.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM GETULIO VARGAS;11002476;745.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEM MAJOR GUAPINDAIA;11002484;1212.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM MARECHAL CASTELO BRANCO;11002506;753.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM PROF ORLANDO FREIRE;11002514;1322.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM PROF EDUARDO LIMA E SILVA;11002522;1226.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM RIO BRANCO;11002549;544.0
2023;Norte;1;RO;11;Porto Velho;1100205;EPEF DG SC LTDA;11002662;97.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEI - PEQUENO MESTRE;11002719;285.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF DR TANCREDO DE ALMEIDA NEVES;11002778;463.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF PINGO DE GENTE;11002883;507.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF SENADOR OLAVO GOMES PIRES;11002956;485.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SAUL BENNESBY;11002999;470.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIF ESTRELA DO AMANHA;11003006;339.0
2023;Norte;1;RO;11;Porto Velho;1100205;IEE CARMELA DUTRA;11003065;1465.0
2023;Norte;1;RO;11;Porto Velho;1100205;INSTITUTO EDUCACIONAL MARISE CASTIEL;11003073;201.0
2023;Norte;1;RO;11;Porto Velho;1100205;INSTITUTO LAURA VICUNA;11003081;763.0
2023;Norte;1;RO;11;Porto Velho;1100205;INSTITUTO MARIA AUXILIADORA;11003090;241.0
2023;Norte;1;RO;11;Porto Velho;1100205;IME ENGENHEIRO FRANCISCO ERSE;11003138;339.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF BRANCA DE NEVE;11003154;398.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF CASA DE DAVI;11003162;354.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF PROFESSORA MARIA APARECIDA DA SILVA RODRIGUES;11003197;423.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF NOSSA SENHORA DO AMPARO;11003200;568.0
2023;Norte;1;RO;11;Porto Velho;1100205;ASSOCIACAO PESTALOZZI DE PORTO VELHO ANTONIO CEZAR DE ABREU TEIXEIRA;11003294;127.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF MARECHAL RONDON;11003308;145.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SANTA JULIA;11003324;203.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MANOEL CAROLINO TENORIO;11003359;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF CASTRO ALVES;11003367;26.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF DRA ANA ADELAIDE GRANGEIRO;11003383;158.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MANOEL MACIEL NUNES;11003391;35.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM GENERAL OSORIO;11003413;355.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JAIME DE ALENCAR;11003456;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOAO DE BARROS GOUVEIA;11003464;48.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOAQUIM GONCALVES DE BARROS;11003472;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOSE FELICIO DA COSTA;11003480;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOSIAS FERREIRA DO NASCIMENTO;11003499;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MONTE HOREB;11003529;11.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF NOSSA SRA APARECIDA;11003537;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PE FRANCISCO JOSE PUCCI;11003561;27.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF VALDECI TEIXEIRA LIMA;11003669;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF 04 DE AGOSTO;11003677;
